城市,监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
北京,北京市房山燕山,82,良,61 μg/m3,98 μg/m3,PM2.5
北京,北京市八角北路9号,79,良,47 μg/m3,107 μg/m3,PM10
北京,北京市丰台云岗,79,良,50 μg/m3,106 μg/m3,PM10
北京,北京市顺义新城,79,良,58 μg/m3,91 μg/m3,PM2.5
北京,北京市丰台小屯,77,良,50 μg/m3,103 μg/m3,PM10
北京,北京市大兴旧宫,76,良,47 μg/m3,100 μg/m3,PM10
北京,北京市通州东关,76,良,56 μg/m3,97 μg/m3,PM2.5
北京,北京市怀柔新城,75,良,55 μg/m3,83 μg/m3,PM2.5
北京,北京市怀柔镇,75,良,49 μg/m3,98 μg/m3,PM10
北京,北京市万寿西宫,74,良,49 μg/m3,96 μg/m3,PM10
北京,北京市密云新城,73,良,49 μg/m3,95 μg/m3,PM10
北京,北京市官园,70,良,44 μg/m3,88 μg/m3,PM10
北京,北京市海淀万柳,70,良,45 μg/m3,88 μg/m3,PM10
北京,北京市密云镇,70,良,40 μg/m3,88 μg/m3,PM10
北京,北京市农展馆,70,良,43 μg/m3,88 μg/m3,PM10
北京,北京市洳河巡河路,70,良,49 μg/m3,89 μg/m3,PM10
北京,北京市昌平镇,69,良,42 μg/m3,87 μg/m3,PM10
北京,北京市东四,69,良,36 μg/m3,86 μg/m3,PM10
北京,北京市门头沟三家店,69,良,43 μg/m3,87 μg/m3,PM10
北京,北京市奥体中心,67,良,41 μg/m3,83 μg/m3,PM10
北京,北京市定陵,66,良,39 μg/m3,81 μg/m3,PM10
北京,北京市天坛,66,良,43 μg/m3,80 μg/m3,PM10
北京,北京市延庆石河营,62,良,41 μg/m3,73 μg/m3,PM10
北京,北京市延庆夏都,61,良,38 μg/m3,70 μg/m3,PM10
上海,上海市浦东张江,61,良,28 μg/m3,71 μg/m3,PM10
上海,上海市金山新城,55,良,25 μg/m3,59 μg/m3,PM10
上海,上海市奉贤南桥新城,53,良,37 μg/m3,47 μg/m3,PM2.5
上海,上海市宁武路151号,51,良,28 μg/m3,51 μg/m3,PM10
上海,上海市浦东川沙,44,优,27 μg/m3,43 μg/m3,
上海,上海市浦东惠南,43,优,30 μg/m3,37 μg/m3,
上海,上海市虹口,39,优,23 μg/m3,38 μg/m3,
上海,上海市嘉定南翔,37,优,26 μg/m3,29 μg/m3,
上海,上海市浦东新区监测站,37,优,19 μg/m3,36 μg/m3,
上海,上海市松江图书馆,37,优,26 μg/m3,-,
上海,上海市十五厂,34,优,24 μg/m3,-,
上海,上海市崇明上实东滩,33,优,23 μg/m3,24 μg/m3,
上海,上海市宝山庙行,31,优,22 μg/m3,26 μg/m3,
上海,上海市静安监测站,30,优,21 μg/m3,-,
上海,上海市普陀,28,优,20 μg/m3,20 μg/m3,
上海,上海市青浦徐泾,28,优,20 μg/m3,27 μg/m3,
上海,上海市长宁仙霞,26,优,18 μg/m3,22 μg/m3,
上海,上海市闵行浦江,21,优,14 μg/m3,21 μg/m3,
上海,上海市冠生园路458号,-,-,-,-,-
广州,广州市帽峰山森林公园,9,优,6 μg/m3,-,
广州,广州市体育西,38,优,26 μg/m3,37 μg/m3,
广州,广州市广东商学院,36,优,15 μg/m3,35 μg/m3,
广州,广州市市监测站,29,优,12 μg/m3,28 μg/m3,
广州,广州市市五中,29,优,14 μg/m3,28 μg/m3,
广州,广州市麓湖,27,优,12 μg/m3,26 μg/m3,
广州,广州市番禺大学城,26,优,13 μg/m3,25 μg/m3,
广州,广州市黄埔科学城,26,优,10 μg/m3,25 μg/m3,
广州,广州市南沙黄阁,24,优,12 μg/m3,24 μg/m3,
广州,广州市市八十六中,23,优,16 μg/m3,23 μg/m3,
广州,广州市番禺中学,22,优,14 μg/m3,22 μg/m3,
广州,广州市广雅中学,22,优,12 μg/m3,22 μg/m3,
广州,广州市白云嘉禾,21,优,15 μg/m3,21 μg/m3,
广州,广州市南沙街,21,优,14 μg/m3,21 μg/m3,
广州,广州市花都梯面,20,优,9 μg/m3,20 μg/m3,
广州,广州市花都师范,19,优,8 μg/m3,19 μg/m3,
广州,广州市白云竹料,15,优,6 μg/m3,15 μg/m3,
广州,广州市九龙镇镇龙,15,优,8 μg/m3,15 μg/m3,
广州,广州市从化街口,13,优,-,13 μg/m3,
广州,广州市从化良口,11,优,6 μg/m3,11 μg/m3,
广州,广州市增城荔城,10,优,-,10 μg/m3,
深圳,深圳市坪山,31,优,17 μg/m3,30 μg/m3,
深圳,深圳市观澜,23,优,-,23 μg/m3,
深圳,深圳市莲花,21,优,7 μg/m3,21 μg/m3,
深圳,深圳市龙岗,19,优,8 μg/m3,19 μg/m3,
深圳,深圳市西乡,19,优,8 μg/m3,19 μg/m3,
深圳,深圳市通心岭子站,17,优,-,17 μg/m3,
深圳,深圳市洪湖,16,优,-,16 μg/m3,
深圳,深圳市华侨城,16,优,10 μg/m3,16 μg/m3,
深圳,深圳市南海子站,16,优,10 μg/m3,16 μg/m3,
深圳,深圳市横岗,15,优,8 μg/m3,15 μg/m3,
深圳,深圳市梅沙,14,优,-,14 μg/m3,
深圳,深圳市民治,13,优,6 μg/m3,13 μg/m3,
深圳,深圳市盐田,13,优,-,13 μg/m3,
深圳,深圳市葵涌,12,优,-,12 μg/m3,
深圳,深圳市南澳,10,优,-,10 μg/m3,
